Unique Key,Created Date,Closed Date,Agency Name,Complaint Type,Location Type,Incident Zip,Street Name,City,Status,Borough
21602669,10-07-2011 0:00,10/13/2011 12:00 AM,Department of Housing Preservation and Development,HEATING,RESIDENTIAL BUILDING,10040,WEST 189 STREET,NEW YORK,Closed,MANHATTAN
21602589,10-07-2011 0:00,10/13/2011 12:00 AM,Department of Housing Preservation and Development,PAINT - PLASTER,RESIDENTIAL BUILDING,10034,VERMILYEA AVENUE,NEW YORK,Closed,MANHATTAN
21602600,10-07-2011 0:00,10-07-2011 0:00,BCC - Manhattan,Missed Collection (All Materials),Sidewalk,10030,WEST 138 STREET,NEW YORK,Closed,MANHATTAN
21602602,10-07-2011 0:00,10-09-2011 0:00,Department of Housing Preservation and Development,ELECTRIC,RESIDENTIAL BUILDING,10034,ACADEMY STREET,NEW YORK,Closed,MANHATTAN
21602385,10-07-2011 0:00,10-12-2011 0:00,Department of Environmental Protection,Sewer,,10024,CENTRAL PARK WEST,NEW YORK,Closed,MANHATTAN
21602386,10-07-2011 0:00,10-10-2011 0:00,Department of Environmental Protection,Sewer,,10065,PARK AVENUE,NEW YORK,Closed,MANHATTAN
21601351,10-07-2011 0:00,10-12-2011 0:00,Department of Housing Preservation and Development,HEATING,RESIDENTIAL BUILDING,10009,EAST 2 STREET,NEW YORK,Closed,MANHATTAN
21601356,10-07-2011 0:00,10-08-2011 0:00,Department of Housing Preservation and Development,HEATING,RESIDENTIAL BUILDING,10033,WEST 184 STREET,NEW YORK,Closed,MANHATTAN
21601357,10-07-2011 0:00,10/13/2011 12:00 AM,Department of Housing Preservation and Development,HEATING,RESIDENTIAL BUILDING,10032,ST NICHOLAS AVENUE,NEW YORK,Closed,MANHATTAN
21601362,10-07-2011 0:00,10-07-2011 0:00,Department of Transportation,Sidewalk Condition,Sidewalk,10022,2 AVENUE,NEW YORK,Closed,MANHATTAN
21601399,10-07-2011 0:00,10-12-2011 0:00,Department of Housing Preservation and Development,HEATING,RESIDENTIAL BUILDING,10009,EAST 13 STREET,NEW YORK,Closed,MANHATTAN
21596702,10-06-2011 0:00,10-12-2011 0:00,Department of Housing Preservation and Development,PLUMBING,RESIDENTIAL BUILDING,10032,WEST 158 STREET,NEW YORK,Closed,MANHATTAN
21604274,10-07-2011 0:00,10-11-2011 0:00,Department of Transportation,Street Condition,,10014,WEST 10 STREET,NEW YORK,Closed,MANHATTAN
21604275,10-07-2011 0:00,10-11-2011 0:00,Department of Transportation,Street Condition,,10128,EAST   95 STREET,NEW YORK,Closed,MANHATTAN
21604277,10-07-2011 0:00,10/13/2011 12:00 AM,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,RESIDENTIAL BUILDING,10031,EDGECOMBE AVENUE,NEW YORK,Closed,MANHATTAN
21596922,10-06-2011 0:00,10-08-2011 0:00,Department of Housing Preservation and Development,ELECTRIC,RESIDENTIAL BUILDING,10031,WEST 146 STREET,NEW YORK,Closed,MANHATTAN
21596628,10-06-2011 0:00,10-07-2011 0:00,Department of Housing Preservation and Development,HEATING,RESIDENTIAL BUILDING,10025,WEST 93 STREET,NEW YORK,Closed,MANHATTAN
21604315,10-07-2011 0:00,10-07-2011 0:00,Department of Environmental Protection,Water System,,10025,CENTRAL PARK WEST,NEW YORK,Closed,MANHATTAN
21604320,10-07-2011 0:00,10-11-2011 0:00,Department of Environmental Protection,Noise,,10019,WEST   56 STREET,NEW YORK,Closed,MANHATTAN
